,0
0,1642048.7213841798
1,1642163.4171530153
2,1640138.231232805
3,1639879.737584158
4,1649144.1344154666
5,1644062.6178540196
6,1643029.858605173
7,1647331.0380939525
8,1654504.0008822244
9,1651063.7987768827
10,1640827.7107971641
11,1638004.033934808
12,1637090.986443744
13,1653987.2612350162
14,1657574.3974989068
15,1654321.8737219244
16,1685892.8999179017
17,1685884.1403428556
18,1693217.1503578338
19,1687341.9380017295
20,1697672.1222175385
21,1703064.176858981
22,1704148.2059101562
23,1704066.352255443
24,1704005.2719528978
25,1711413.468457056
26,1691420.5397344856
27,1692031.8600788927
28,1687599.1662570816
29,1677063.2483814233
30,1674514.5164969738
31,1685749.6847701634
32,1681510.5009178992
33,1687958.853795219
34,1690150.3407745573
35,1700937.8708182264
36,1705240.4056411695
37,1699388.4977421097
38,1690476.3615581712
39,1700441.7210468515
40,1671375.1459791746
41,1667580.2983270907
42,1682990.8890915555
43,1676633.7046649233
44,1687500.252280112
45,1694570.009332982
46,1707592.7490290839
47,1702722.571272938
48,1707919.7128173483
49,1717837.4806297622
