,0
0,1000000.0
1,1000172.1051515614
2,1000092.3868730573
3,1001120.2249088424
4,1004159.0918959918
5,999820.5268160696
6,996126.6290389292
7,995530.4528051474
8,998430.2706075779
9,996460.5741578243
10,1000123.387441466
11,1008694.9651535349
12,1008931.2763061253
13,993455.51973691
14,997955.2308083264
15,998643.2299776718
16,992847.6498185949
17,975977.4164454899
18,978667.8053801057
19,973881.4243197455
20,968375.2537621192
21,947146.6109379398
22,965809.2948676982
23,958885.599976112
24,958471.307951486
25,959661.7500655479
26,935750.4035080117
27,929362.2076858182
28,941643.5501272692
29,916367.7986920776
30,912245.5625284206
31,902779.9588508226
32,939714.7262891706
33,946059.2253573814
34,969356.4881864304
35,974737.9869233479
36,970414.6252709685
37,992049.1951748014
38,1004168.4624235671
39,991120.686261131
40,976671.417805895
41,1037707.6984003067
42,1022342.4307126893
43,1034877.1540178728
44,1050542.5666239143
45,1025779.2366263365
46,1000407.6419741736
47,1021114.6642490585
48,1041225.733947001
49,1065993.760275098
50,1074787.7141422662
51,1066931.3429493266
52,1048256.946130916
53,1057537.354388163
54,1090602.1492551572
55,1090897.9753305002
56,1058693.4665746826
57,1073439.5505099169
58,1090620.3043635937
59,1091725.218185373
60,1060414.3039487058
61,1082130.4966470452
62,1072377.7716815053
63,1078080.0432291639
64,1085989.4679760437
65,1082064.2853873293
66,1086266.7496736238
67,1110007.1020078775
68,1102813.6730400124
69,1102215.1706984865
70,1129568.3279481141
71,1123253.5860528222
72,1129099.4718672852
73,1112521.5912039727
74,1127148.304068176
75,1113654.338067708
76,1123632.342843794
77,1103097.0150652572
78,1107707.7648372438
79,1106042.9115678696
80,1144831.9786246042
81,1140022.1181320846
82,1130256.432382015
83,1115341.5477486157
84,1111739.0796885942
85,1142560.2684207621
86,1114938.0992468207
87,1130032.3222031652
88,1144601.3513075418
89,1169631.5029124783
90,1168024.1672640813
91,1162513.2753513972
92,1167714.4253604033
93,1170656.1134362074
94,1172211.6866854373
95,1175122.417893461
96,1172511.690295882
97,1174568.6693981118
98,1171595.673777569
99,1156373.4564274875
100,1145157.968188163
101,1144128.7751134925
102,1149503.9660638284
103,1145936.209815716
104,1122593.1856085875
105,1121468.5064458332
106,1118836.9149982156
107,1142164.5410520358
108,1138937.7053470237
109,1145161.2697933204
110,1131595.5981575402
111,1139474.5533385724
112,1110285.85002161
113,1119106.081334199
114,1100445.211049458
115,1106908.3174045177
116,1112615.1555916232
117,1105316.1672891635
118,1131612.9473687897
119,1132824.7400127596
120,1172403.6015574634
121,1195768.9571890323
122,1221195.746190234
123,1231956.3471625405
124,1237656.5169191814
125,1226695.0390082893
126,1247519.7039007356
127,1255569.0297395557
128,1253911.9087962762
129,1249141.7284528508
130,1248354.2627194924
131,1254194.8135813521
132,1254543.6916612026
133,1271030.8858509557
134,1269202.0694469644
135,1261338.4994269917
136,1251678.7635407704
137,1270195.2940130455
138,1262132.083875196
139,1251144.1520527292
140,1265218.0903370762
141,1270433.625092397
142,1261103.103710236
143,1240573.5767186084
144,1251581.2232679545
145,1261576.5147827342
146,1267372.4562117269
147,1282348.4047978623
148,1277341.3689895165
149,1276810.3597627955
150,1283030.1164320142
151,1284497.3329563534
152,1278590.5250894774
153,1278734.4733300495
154,1257051.3345905563
155,1253304.0244729505
156,1258071.4306970676
157,1267988.1062228268
158,1274513.4113832829
159,1273762.5833139895
160,1288568.3852788266
161,1287926.0891169521
162,1293130.42723007
163,1296392.7890674183
164,1317738.777502881
165,1314267.5630489523
166,1321291.4086490488
167,1313575.9989224477
168,1314675.7076569288
169,1306253.6802321586
170,1308631.59137463
171,1307517.9556184006
172,1306359.557558903
173,1301328.5960772797
174,1305551.878920283
175,1282805.9329269999
176,1288879.8108763895
177,1298199.1436124363
178,1313096.5484219282
179,1322294.095092167
180,1325938.5807559905
181,1348303.2909095022
182,1356413.59277472
183,1354024.992581567
184,1367774.7563716928
185,1369185.2483786675
186,1330247.2073001172
187,1344372.5724144771
188,1340603.351347925
189,1324313.2305154412
190,1348255.9417408193
191,1323575.0748785317
192,1319062.6922827372
193,1327681.4628608234
194,1325435.3832849553
195,1349951.9209116006
196,1317810.801467499
197,1325098.1617700546
198,1327390.7412391747
199,1329603.3885847144
200,1355417.0702304225
201,1359793.897522327
202,1387800.416978606
203,1395707.960830325
204,1401170.7580061676
205,1387326.2555490485
206,1397296.0287405197
207,1413915.450737139
208,1417259.690504906
209,1415396.4566404552
210,1407469.5729520267
211,1401697.862272869
212,1418305.7671211725
213,1416601.853572053
214,1414565.0802886698
215,1395745.9147907014
216,1403456.5714949945
217,1417309.3690948382
218,1412575.1053226185
219,1402902.5073811298
220,1401224.70205686
221,1398610.0799154849
222,1391399.8925310723
223,1405726.603819427
224,1413836.6879623309
225,1419390.365117996
226,1420251.4877800432
227,1405317.3072991294
228,1406039.118850897
229,1390860.0184666698
230,1393797.9582999903
231,1401266.4373155246
232,1411743.8528389817
233,1411796.2290371165
234,1418208.6071670847
235,1429377.9247879102
236,1426863.1797307022
237,1430445.8847475818
238,1413752.4740835151
239,1430047.3277792584
240,1420225.3202059749
241,1416011.9827955242
242,1413514.0220086176
243,1421627.0429756446
244,1409893.4566055893
245,1419473.986591933
246,1420112.058656977
247,1436038.6421822926
248,1427576.9586467938
249,1450110.4744272227
250,1416434.798045937
251,1399189.0210625355
252,1364452.2187436942
253,1368341.7978866666
254,1366639.3259471904
255,1372301.242758247
256,1350817.0614977062
257,1340824.3380340203
258,1365122.6398480868
259,1376951.6904162131
260,1374440.1675063323
261,1344551.212044181
262,1348929.0233127817
263,1333178.991776927
264,1350163.967459837
265,1346289.4865231377
266,1356671.9318181835
267,1357452.4626236309
268,1376281.2997049417
269,1383291.1006709884
270,1397528.0789161501
271,1392545.4527060161
272,1389355.5035649808
273,1382391.3108324353
274,1395639.70474498
275,1388772.5833161958
276,1387801.53677796
277,1399971.1372102816
278,1393383.1355783413
279,1389801.6456462964
280,1390551.0296256582
281,1400085.5331106319
282,1390999.0058846087
283,1384975.7013841558
284,1385147.6116412387
285,1401501.325887019
286,1406113.26922515
287,1406166.3236022368
288,1412998.6467479598
289,1409744.5445734884
290,1412588.195135549
291,1404670.002064089
292,1409677.407492946
293,1422593.1663081292
294,1412253.848370307
295,1417933.080217501
296,1418619.9168846773
297,1415652.5599684997
298,1416178.9511725118
299,1410239.5362708792
300,1413418.8166625823
301,1426290.4432767036
302,1421347.8627405444
303,1413594.5373424205
304,1411770.534507367
305,1423096.7131962716
306,1421367.944499729
307,1429131.9939613617
308,1449810.6391844866
309,1446363.3045004392
310,1439005.7389856344
311,1454335.1826686652
312,1437590.7320556338
313,1433373.4270536974
314,1435889.2860247148
315,1445950.3027107832
316,1450933.9707532874
317,1428131.421794636
318,1439881.2381098913
319,1442751.668237006
320,1425940.0414126087
321,1435479.2260415233
322,1415459.4721282234
323,1408306.6845968196
324,1367416.0597190256
325,1347656.0395817563
326,1395269.9162128228
327,1398994.3977590674
328,1446568.1770324383
329,1433050.062646698
330,1423013.448091782
331,1421053.876031221
332,1411941.6356407644
333,1403181.0613081797
334,1351560.3749276157
335,1368439.07001022
336,1356759.1615517316
337,1356458.515313792
338,1342211.2358559882
339,1376977.9827669375
340,1365570.4695469057
341,1354582.9950014725
342,1386414.6340932923
343,1391189.645005222
344,1358973.87338214
345,1347405.4854575421
346,1354133.0647656987
347,1350850.3494539293
348,1389312.4725894192
349,1392717.6132438735
350,1392176.9747679974
351,1410052.0721452031
352,1413417.0500198146
353,1419227.8925013205
354,1412626.417596476
355,1416323.9531313174
356,1400495.2374673674
357,1407405.238637452
358,1386369.987824915
359,1376719.5634817844
360,1390882.589481058
361,1353499.1400193109
362,1338209.2982481723
363,1328639.8640930448
364,1322088.9982143652
365,1335143.0197480384
366,1372854.8146163463
367,1386275.1962587957
368,1386373.9140607747
369,1393508.3371462373
370,1412182.9046631304
371,1413236.7548009686
372,1412963.1193734724
373,1382318.9344038265
374,1396745.076203201
375,1375046.2713835747
376,1358995.028683379
377,1383523.9747959932
378,1396264.179814999
379,1400866.914106077
380,1402326.3629451967
381,1399493.4257217438
382,1392838.4285736373
383,1394154.9442908645
384,1419742.0068819395
385,1411552.3171298783
386,1416841.0310747393
387,1420542.6740478976
388,1406644.6670498135
389,1423880.041997102
390,1423016.1164589664
391,1400627.7166119174
392,1386034.613319292
393,1380942.2900593523
394,1379721.587078933
395,1388850.1257545298
396,1396581.1271989343
397,1387808.3682349743
398,1374985.1983966469
399,1366795.203595564
400,1350923.7840628992
401,1354543.4776390647
402,1333330.1638372443
403,1354372.8877742793
404,1338881.1396296655
405,1337551.8903677603
406,1364918.8880598387
407,1360252.5592185324
408,1383881.7747988356
409,1366396.4983065147
410,1368528.8564131649
411,1372073.2142899055
412,1385217.8605380896
413,1399671.1389016404
414,1393137.376343975
415,1399621.2472192887
416,1401694.466452131
417,1405678.6695877719
418,1423449.5750176418
419,1425229.1695479485
420,1430041.5465785202
421,1420090.8755959873
422,1444149.9390666173
423,1446536.1787023358
424,1449046.401028851
